ID,Name,catogories,sub-catogories,link,website,landing page,code,img,cost
1,Bright Smile Dental,Business,Dental,https://brightsmiledental.vercel.app/,FALSE,TRUE,BD01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BD01.png,15000
2,Smile Care Dental,Business,Dental,https://kzmp1oagzrtbobbm6no6.lite.vusercontent.net/,FALSE,TRUE,BD02,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BD02.png,10000
3,Core SaaS Platform,Business,SaaS,https://kzml8vqwr0i9xivk53zm.lite.vusercontent.net/,FALSE,TRUE,BS01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BS01.png,10000
4,Product Showcase,Business,Product,https://kzmr0nr28y9td4b5dcvo.lite.vusercontent.net/,FALSE,TRUE,BP01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BP01.png,10000
5,Krishna Clothing Shop,Business,Shop/ecommerce,https://a7lxgsyjehx688rcc.lite.vusercontent.net/,FALSE,TRUE,BSh01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSh01.png,10000
6,Serenity Meditation,Wellness,Meditation,https://kzmjzzf1bkfq2v2zyi4u.lite.vusercontent.net/,FALSE,TRUE,WM01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/WM01.png,10000
7,Gengers Clothing Store,Business,Shop/ecommerce,https://kzmqeody2ysl9i32hwfh.lite.vusercontent.net/,FALSE,TRUE,BSh02,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSh02.png,10000
8,Barahakshetra Jeevan Yog,Wellness,Meditation,https://kzmgygqyxirdgs7svq6q.lite.vusercontent.net/,FALSE,TRUE,WM02,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/WM02.png,10000
9,StreamLine SaaS,Business,SaaS,https://kzmof7cy3513qv6tm7gt.lite.vusercontent.net/,FALSE,TRUE,BS02,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BS02.png,10000
10,Amane Soft SaaS,Business,SaaS,https://kzmol3nzhwnd0oudvgab.lite.vusercontent.net/,FALSE,TRUE,BS03,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BS03.png,10000
11,Shubhams Portfolio,Portfolio,Portfolio,https://kzmj9iha8a39dk5s4eo1.lite.vusercontent.net/,FALSE,TRUE,PPo01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/PPo01.png,10000
12,Bhagwatis Portfolio,Portfolio,Portfolio,https://bhagawotilama.vercel.app/,FALSE,TRUE,PPo02,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/PPo02.png,15000
13,Tranquil Meditation Landing,Wellness,Meditation,https://kzmiz3bz98bvpas1qo1h.lite.vusercontent.net/,FALSE,TRUE,WM03,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/WM03.png,10000
14,Yo Restaurant,Business,Restaurant,https://yo-resto.netlify.app/,FALSE,TRUE,BR01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BR01.png,10000
15,Johns Social Hub,Business,Social Link,https://kzmj9406c06dwn6fev6r.lite.vusercontent.net/,FALSE,TRUE,BSL01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSL01.png,10000
16,KRS Clothing Shop,Business,Shop/ecommerce,https://krishnareadymate.netlify.app/,TRUE,FALSE,BSh03,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSh03.png,20000
17,GreenGrow Shop,Business,Shop/ecommerce,https://v0-organic-ecommerce-chruxt.vercel.app,TRUE,FALSE,BSh04,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSh04.png,20000
18,Digi card langing page,Business,Saas,https://kzmnip1ym8k3kmsu5t9f.lite.vusercontent.net,FALSE,TRUE,BS04,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BS04.png,10000
19,KRS simple landing page,Business,Shop/ecommerce,https://kzmltytaakna0kgxe6ag.lite.vusercontent.net,FALSE,TRUE,BSh05,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSh05.png,10000
20,"New Puja garment 
newpuja New Puja
Newpuja garment",Business,Shop/ecommerce,https://kzmimrhtkzfns96qst2q.lite.vusercontent.net,FALSE,TRUE,BSh06,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/BSh06.png,10000
21,Jane Doe portfoilo,Portfolio,Portfolio,https://kzmlp84cbxieg5s8zado.lite.vusercontent.net,FALSE,TRUE,PPo03,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/PPo03.png,10000
22,Shikshanepal,NGO,NGO,https://shikshanepal.vercel.app/,TRUE,FALSE,NG01,https://raw.githubusercontent.com/Shubhamnpk/bitnepal/refs/heads/main/Timg/NG01.png,20000
